symbol,isin,quarter,status,words,note
NEE,US65339F1012,2017Q4,ok,8397,40 turns
NEE,US65339F1012,2018Q1,ok,8109,43 turns
NEE,US65339F1012,2018Q2,ok,7946,99 turns
NEE,US65339F1012,2018Q3,ok,1702,11 turns
NEE,US65339F1012,2018Q4,ok,10498,85 turns
NEE,US65339F1012,2019Q1,ok,8526,70 turns
NEE,US65339F1012,2019Q2,ok,8600,62 turns
NEE,US65339F1012,2019Q3,fail,0,all AV keys exhausted
NEE,US65339F1012,2019Q3,ok,8703,47 turns
NEE,US65339F1012,2019Q4,ok,9295,55 turns
NEE,US65339F1012,2020Q1,ok,8643,21 turns
NEE,US65339F1012,2020Q2,ok,6197,29 turns
NEE,US65339F1012,2020Q3,ok,8075,50 turns
NEE,US65339F1012,2020Q4,ok,10996,40 turns
NEE,US65339F1012,2021Q1,ok,8294,38 turns
NEE,US65339F1012,2021Q2,ok,8933,53 turns
NEE,US65339F1012,2021Q3,ok,7954,42 turns
NEE,US65339F1012,2021Q4,ok,11867,61 turns
DUK,US26441C2044,2004Q1,fail,0,no transcript
DUK,US26441C2044,2004Q2,fail,0,no transcript
DUK,US26441C2044,2004Q3,fail,0,no transcript
DUK,US26441C2044,2004Q4,fail,0,no transcript
DUK,US26441C2044,2005Q1,fail,0,no transcript
DUK,US26441C2044,2005Q2,fail,0,no transcript
DUK,US26441C2044,2005Q3,fail,0,no transcript
DUK,US26441C2044,2005Q4,fail,0,no transcript
DUK,US26441C2044,2006Q1,fail,0,no transcript
DUK,US26441C2044,2006Q2,fail,0,no transcript
DUK,US26441C2044,2006Q3,fail,0,no transcript
DUK,US26441C2044,2006Q4,fail,0,no transcript
DUK,US26441C2044,2007Q1,fail,0,no transcript
DUK,US26441C2044,2007Q2,fail,0,no transcript
DUK,US26441C2044,2007Q3,fail,0,no transcript
DUK,US26441C2044,2007Q4,fail,0,all AV keys exhausted
DUK,US26441C2044,2007Q4,fail,0,no transcript
DUK,US26441C2044,2008Q1,ok,8154,120 turns
DUK,US26441C2044,2008Q2,ok,7573,82 turns
DUK,US26441C2044,2008Q3,ok,8923,69 turns
DUK,US26441C2044,2008Q4,ok,7848,106 turns
DUK,US26441C2044,2009Q1,ok,4543,33 turns
DUK,US26441C2044,2009Q2,ok,7480,53 turns
DUK,US26441C2044,2009Q3,ok,7667,79 turns
DUK,US26441C2044,2009Q4,ok,7726,55 turns
DUK,US26441C2044,2010Q1,ok,7247,67 turns
DUK,US26441C2044,2010Q2,ok,7415,98 turns
DUK,US26441C2044,2010Q3,ok,7364,87 turns
DUK,US26441C2044,2010Q4,ok,7654,48 turns
DUK,US26441C2044,2011Q1,ok,7469,77 turns
DUK,US26441C2044,2011Q2,ok,7836,72 turns
DUK,US26441C2044,2011Q3,ok,5126,56 turns
DUK,US26441C2044,2011Q4,ok,7471,95 turns
