doc,half1,half2
CVX_2012Q3,0.0015151515151515152,0.0056657223796034
CVX_2012Q4,0.0005885815185403178,0.0007704160246533128
CVX_2013Q1,0.0005665722379603399,0.000835421888053467
CVX_2013Q2,0.0010905125408942203,0.00066711140760507
CVX_2013Q3,0.003234152652005175,0.0007980845969672786
CVX_2013Q4,0.0009289363678588017,0.000612369871402327
CVX_2014Q1,0.0005165289256198347,0.0
CVX_2014Q2,0.0008756567425569177,0.0013333333333333333
CVX_2014Q3,0.001277139208173691,0.0
CVX_2014Q4,0.0,0.0
CVX_2015Q1,0.0,0.0006548788474132286
CVX_2015Q2,0.0,0.0027816411682892906
CVX_2015Q3,0.0009017132551848512,0.0006035003017501509
CVX_2015Q4,0.0004955401387512388,0.0006131207847946045
CVX_2016Q1,0.0,0.000792393026941363
CVX_2016Q2,0.0013844023996308261,0.0
CVX_2016Q3,0.0,0.0
CVX_2016Q4,0.0,0.0
CVX_2017Q1,0.0024354603019970775,0.0012578616352201257
CVX_2017Q2,0.0,0.0
CVX_2017Q3,0.0,0.002054794520547945
CVX_2017Q4,0.00055005500550055,0.0
CVX_2018Q1,0.002306805074971165,0.0007401924500370096
CVX_2018Q2,0.0006451612903225806,0.003668378576669112
CVX_2018Q3,0.0026338893766461808,0.0006770480704129993
CVX_2018Q4,0.001135718341851221,0.0
CVX_2019Q1,0.0029433406916850625,0.0007680491551459293
CVX_2019Q2,0.005235602094240838,0.008895478131949592
CVX_2019Q3,0.00819672131147541,0.0
CVX_2019Q4,0.009404388714733543,0.0058997050147492625
CVX_2020Q1,0.0014641288433382138,0.006958942240779402
CVX_2020Q2,0.012704174228675136,0.0
CVX_2020Q3,0.009594882729211088,0.020578420467185762
CVX_2020Q4,0.001837109614206981,0.009418282548476454
CVX_2021Q1,0.003766478342749529,0.013496143958868894
CVX_2021Q2,0.005501222493887531,0.02369980250164582
CVX_2021Q3,0.004229607250755287,0.011764705882352941
CVX_2021Q4,0.0025477707006369425,0.0020847810979847115
CVX_2022Q1,0.0034403669724770644,0.008567931456548347
CVX_2022Q2,0.005574136008918618,0.004799040191961607
CVX_2022Q3,0.00398406374501992,0.008714596949891068
CVX_2022Q4,0.005324813631522897,0.003257328990228013
CVX_2023Q1,0.003498542274052478,0.002191380569758948
CVX_2023Q2,0.004581151832460733,0.0051094890510948905
CVX_2023Q3,0.003071253071253071,0.002170767004341534
CVX_2023Q4,0.0037998733375554147,0.0012845215157353885
CVX_2024Q1,0.0019550342130987292,0.006958250497017893
CVX_2024Q2,0.0020463847203274215,0.002167630057803468
CVX_2024Q3,0.003329633740288568,0.0
CVX_2024Q4,0.00880853036624942,0.0013623978201634877
DUK_2008Q1,0.012464046021093002,0.0064
DUK_2008Q2,0.02540650406504065,0.010638297872340425
DUK_2008Q3,0.008283479061205707,0.02253147779986746
DUK_2008Q4,0.008342602892102336,0.0024330900243309003
DUK_2009Q1,0.024459078080903106,0.0013736263736263737
DUK_2009Q2,0.005991285403050109,0.011675824175824176
DUK_2009Q3,0.0036496350364963502,0.014778325123152709
DUK_2009Q4,0.01184956208140134,0.01218369259606373
DUK_2010Q1,0.014317180616740088,0.004248088360237893
DUK_2010Q2,0.01727447216890595,0.005785123966942148
DUK_2010Q3,0.008244994110718492,0.007390983000739098
DUK_2010Q4,0.0051440329218107,0.002789400278940028
DUK_2011Q1,0.015340364333652923,0.010371650821089023
DUK_2011Q2,0.01569620253164557,0.020512820512820513
DUK_2011Q3,0.002156721782890007,0.0
DUK_2011Q4,0.005199306759098787,0.0032310177705977385
DUK_2012Q1,0.008883953359244865,0.00984251968503937
DUK_2012Q2,0.004194128220491312,0.005555555555555556
DUK_2012Q3,0.00772573635924674,0.004611837048424289
DUK_2013Q1,0.00625,0.0032530904359141183
DUK_2013Q2,0.006644518272425249,0.002459016393442623
DUK_2013Q3,0.005203816131830009,0.0012682308180088776
DUK_2013Q4,0.008857808857808859,0.01043382756727073
DUK_2014Q1,0.007286755250750107,0.01006036217303823
DUK_2014Q2,0.014453961456102784,0.006802721088435374
DUK_2014Q3,0.01002865329512894,0.005502063273727648
DUK_2014Q4,0.011354079058031959,0.00547302580140735
DUK_2015Q1,0.00994789199431549,0.005468215994531784
DUK_2015Q2,0.013117621337997376,0.00804093567251462
DUK_2015Q3,0.01076555023923445,0.006102877070619006
DUK_2015Q4,0.00962000962000962,0.005917159763313609
DUK_2016Q1,0.011404872991187144,0.002896451846488052
